post_id,title,category,score,num_comments,author,collected_at
47762901,An AI Vibe Coding Horror Story,technology,86,55,teichmann,2026-04-14 15:23:26
47762864,Backblaze has stopped backing up your data,technology,33,12,rrreese,2026-04-14 15:23:26
47761625,Multi-Agentic Software Development Is a Distributed Systems Problem,technology,35,8,tie-in,2026-04-14 15:23:26
47761723,MOS tech 6502 8-bit microprocessor in pure SQL powered by Postgres,technology,19,2,adunk,2026-04-14 15:23:26
47753472,Nothing Ever Happens: Polymarket bot that always buys No on non-sports markets,sports,418,234,m-hodges,2026-04-14 15:23:26
47761825,Roblox devs now need a subscription to share their games freely,sports,49,45,hallole,2026-04-14 15:23:26
47708457,Rust Threads on the GPU,technology,70,21,PaulHoule,2026-04-14 15:23:26
47758347,N-Day-Bench – Can LLMs find real vulnerabilities in real codebases?,technology,68,18,mufeedvh,2026-04-14 15:23:26
47728970,"Write less code, be more responsible",technology,90,56,orhunp_,2026-04-14 15:23:26
47753689,Building a CLI for all of Cloudflare,technology,308,100,soheilpro,2026-04-14 15:23:26
47729046,Air Powered Segment Display? [video],technology,106,11,ProfDreamer,2026-04-14 15:23:26
47756772,GAIA – Open-source framework for building AI agents that run on local hardware,technology,131,30,galaxyLogic,2026-04-14 15:23:26
47756569,"Show HN: Ithihāsas – a character explorer for Hindu epics, built in a few hours",entertainment,149,38,cvrajeesh,2026-04-14 15:23:26
47755209,B-trees and database indexes (2024),technology,108,40,tosh,2026-04-14 15:23:26
47750872,Servo is now available on crates.io,technology,450,145,ffin,2026-04-14 15:23:26
47752466,MEMS Array Chip Can Project Video the Size of a Grain of Sand,technology,86,38,bookofjoe,2026-04-14 15:23:26
47751621,Initial mainline video capture and camera support for Rockchip RK3588,technology,84,24,mfilion,2026-04-14 15:23:26
47759292,The AI revolution in math has arrived,technology,84,48,sonabinu,2026-04-14 15:23:26
47744255,I ran Gemma 4 as a local model in Codex CLI,technology,262,108,dvaughan,2026-04-14 15:23:26
47754179,Claude Code may be burning your limits with invisible tokens,technology,44,5,jenic_,2026-04-14 15:23:26
47750821,Michigan 'digital age' bills pulled after privacy concerns raised,technology,215,123,iamnothere,2026-04-14 15:23:26
